,size,H,name,slope,intercept,r_value
288,19500,0.8,0.80_6,-0.2781765406921071,108.13239702028436,-0.08005014748759842
289,20000,0.8,0.80_6,-0.2968773309701645,107.28251111436887,-0.08655670168583258
290,20500,0.8,0.80_6,-0.25760900269514136,108.94205792487637,-0.07690333383726675
291,21000,0.8,0.80_6,-0.28866442261957603,107.90518546796368,-0.08787809611080935
292,21500,0.8,0.80_6,-0.3067110371046811,106.7887914178329,-0.09398200622780274
293,22000,0.8,0.80_6,-0.3140688199589496,105.38840984748518,-0.09621413140148727
294,22500,0.8,0.80_6,-0.30806635550078554,104.68292677109143,-0.09417256104058203
295,23000,0.8,0.80_6,-0.2978927996761592,104.75197085553442,-0.09065088231408604
296,23500,0.8,0.80_6,-0.2837351602343301,103.33747586844406,-0.08664214355521782
297,24000,0.8,0.80_6,-0.2406276522808136,100.9127953998616,-0.07463567774888463
298,24500,0.8,0.80_6,-0.1957175108868134,99.3377993430288,-0.06347514166761686
299,25000,0.8,0.80_6,-0.20461023531137246,100.41168372524072,-0.06893155603726384
300,500,0.8,0.80_7,1.3879341996252523,9.954703173401592,0.2733742888502336
301,1000,0.8,0.80_7,0.06170043947864207,16.572526008754394,0.028609357193294136
302,1500,0.8,0.80_7,-0.08665844827498939,35.45035338025902,-0.014761684887197675
303,2000,0.8,0.80_7,-0.02585605294692371,35.51594690647888,-0.004504358165644658
304,2500,0.8,0.80_7,0.27430450444516746,44.1186932241935,0.07239281628569663
305,3000,0.8,0.80_7,-0.07525422677287792,44.47512010332283,-0.02637592765944827
306,3500,0.8,0.80_7,-0.1594500080474514,44.58007769744516,-0.06064348300498418
307,4000,0.8,0.80_7,-0.15117690373949744,44.18411172239793,-0.05912604491553974
308,4500,0.8,0.80_7,-0.043599174091211834,43.75221069954257,-0.01648970574593638
309,5000,0.8,0.80_7,-0.06992963205201441,44.317580192741715,-0.02809026012882803
310,5500,0.8,0.80_7,-0.14088080399388037,45.02419425969091,-0.06091645564448537
311,6000,0.8,0.80_7,0.024524804818445625,42.80722126883823,0.010482899887419482
312,6500,0.8,0.80_7,0.5200216714285841,36.90136135487255,0.1920365772818329
313,7000,0.8,0.80_7,0.646298015424656,42.49339673599026,0.2336899198451066
314,7500,0.8,0.80_7,0.24126026464038575,54.86696167598358,0.11116416858651934
315,8000,0.8,0.80_7,0.15252238804830007,56.99770102248989,0.07722002873051896
316,8500,0.8,0.80_7,0.24687147952774535,54.156320901607344,0.13124052298383349
317,9000,0.8,0.80_7,0.1422073470817768,57.46795061982295,0.0814939104969875
318,9500,0.8,0.80_7,0.07722625996571177,58.90623316314215,0.04582039964291838
319,10000,0.8,0.80_7,0.08283303615972244,58.401955397023,0.049566255243343356
320,10500,0.8,0.80_7,0.12995290822745645,57.65113433849376,0.07643800527300869
321,11000,0.8,0.80_7,0.22088113137929802,54.96953663997004,0.1247195461084969
322,11500,0.8,0.80_7,0.44700610923315737,46.780080865075035,0.2200748146431339
323,12000,0.8,0.80_7,0.33894733723871245,52.4685377912958,0.1783962880290544
324,12500,0.8,0.80_7,0.27150976027135226,55.281485731286914,0.14752141386563952
325,13000,0.8,0.80_7,0.2670858328814622,54.94845830524984,0.14706934884124886
326,13500,0.8,0.80_7,0.24201388286643627,55.39625729671619,0.13467256007873976
